temperature,timestamp
"3912,36,14;487,38,16;124,36,14;",2015-03-04T19:19:03.737Z
"486,37,12;482,37,17;485,37,17;483,37,14;230,37,20;487,38,16;3912,36,14;124,36,14;484,36,13;",2015-03-04T19:09:03.405Z
"482,37,17;485,37,17;230,37,20;487,38,16;484,36,14;3912,36,14;124,36,14;",2015-03-04T19:08:43.441Z
"484,36,14;3912,36,14;487,38,16;124,36,14;482,37,17;",2015-03-04T19:08:05.624Z
"487,39,16;484,36,14;124,36,14;481,36,13;482,37,17;486,37,12;485,37,17;230,37,20;",2015-03-04T18:14:17.377Z
"483,37,14;230,37,20;487,38,16;484,36,13;",2015-03-04T18:13:39.409Z
"482,37,17;485,37,17;486,37,12;483,37,14;230,37,20;487,38,16;484,36,13;3912,36,14;124,36,14;",2015-03-04T17:52:33.024Z
"487,38,15;484,36,14;3912,36,14;124,36,14;481,36,13;482,37,17;486,37,12;485,37,17;",2015-03-04T17:41:43.087Z
"230,37,20;483,37,14;487,38,15;484,36,14;3912,36,14;124,36,14;482,37,17;",2015-03-04T17:31:10.606Z
"230,37,20;484,36,13;3912,36,14;487,38,15;124,36,14;481,36,13;482,37,17;",2015-03-04T17:30:50.104Z
"481,36,13;482,37,17;485,38,16;486,37,12;",2015-03-04T17:30:12.350Z
"230,37,20;487,38,15;3912,36,14;484,36,14;124,36,14;486,37,12;482,38,16;485,38,16;",2015-03-04T17:20:32.944Z
"230,37,20;484,36,14;3912,36,14;487,38,15;124,36,14;481,36,14;482,38,16;486,37,12;485,38,16;",2015-03-04T17:20:12.825Z
"486,37,12;485,38,16;483,37,14;230,37,20;",2015-03-04T17:19:34.780Z
"486,37,12;485,38,16;483,37,14;230,37,20;3912,36,14;484,36,14;487,38,15;124,36,14;",2015-03-04T17:09:45.505Z
"486,37,12;485,38,16;483,37,14;230,37,20;487,38,15;3912,36,14;484,37,14;124,36,14;",2015-03-04T17:09:25.419Z
"484,36,14;3912,36,14;124,36,14;482,38,16;486,37,12;481,36,13;",2015-03-04T17:08:47.345Z
"485,38,16;230,37,20;487,38,15;484,36,14;3912,36,14;124,36,14;",2015-03-04T16:59:06.979Z
"486,37,12;230,37,20;483,37,14;487,38,15;3912,36,14;124,36,14;",2015-03-04T16:58:46.593Z
"484,36,14;3912,36,14;124,36,14;481,36,14;482,37,17;486,37,12;",2015-03-04T16:58:08.625Z
"230,37,20;483,37,14;3912,36,14;124,36,14;487,38,16;482,37,17;481,36,14;",2015-03-04T16:48:30.191Z
"483,37,14;230,37,20;487,38,16;3912,36,14;124,36,14;484,36,14;481,36,14;486,37,12;",2015-03-04T16:48:10.240Z
"482,37,17;481,36,14;486,37,12;485,38,16;",2015-03-04T16:47:32.266Z
"230,36,20;483,36,15;484,36,14;3912,36,14;487,38,15;124,36,14;481,36,13;486,37,12;482,37,17;",2015-03-04T15:32:31.302Z
"230,37,20;483,37,14;484,36,14;487,38,15;3912,36,14;124,36,14;481,36,13;482,37,17;",2015-03-04T15:32:11.450Z
"482,37,17;481,36,13;485,38,16;483,37,14;",2015-03-04T15:31:33.403Z
"230,37,20;3912,36,14;484,36,14;487,38,15;124,36,14;481,36,13;486,37,12;482,37,17;485,38,16;",2015-03-04T15:21:52.539Z
"230,37,20;484,36,14;3912,36,14;487,38,15;124,36,14;482,37,17;481,36,14;485,38,16;",2015-03-04T15:21:33.086Z
"124,36,14;481,36,14;482,37,17;486,37,12;485,37,17;230,37,20;",2015-03-04T15:10:40.367Z
"230,37,20;487,38,16;3912,36,14;484,36,14;124,36,14;",2015-03-04T15:10:02.752Z
"483,36,15;230,37,20;3912,36,14;484,36,14;487,38,16;124,36,14;",2015-03-04T14:59:48.654Z
"124,36,14;481,36,14;486,37,12;485,37,17;",2015-03-04T14:59:10.893Z
"483,36,15;230,37,20;487,38,16;3912,36,14;484,36,14;124,36,14;481,36,14;482,37,17;",2015-03-04T14:49:30.821Z
"230,37,20;484,36,14;3912,36,14;487,38,16;124,36,14;481,36,14;482,37,17;",2015-03-04T14:49:10.949Z
"482,37,17;481,36,14;486,37,12;485,37,17;",2015-03-04T14:48:33.199Z
"124,36,14;481,36,14;482,37,17;485,37,17;486,37,12;483,36,15;230,37,20;",2015-03-04T14:38:19.759Z
"483,36,15;230,37,20;484,36,14;3912,36,14;487,38,16;124,36,14;",2015-03-04T14:37:41.998Z
"483,36,15;230,36,20;487,38,16;484,36,14;3912,36,14;124,36,14;482,37,17;",2015-03-04T14:27:50.357Z
"124,36,14;482,37,17;481,36,13;486,37,12;485,38,16;230,37,20;",2015-03-04T14:17:01.605Z
"482,37,17;486,37,12;481,36,14;485,38,16;483,36,15;230,36,20;",2015-03-04T14:16:41.553Z
"230,36,20;487,38,16;484,36,14;3912,36,14;124,36,14;",2015-03-04T14:16:04.102Z
"487,38,16;124,36,14;484,36,14;482,37,17;481,36,14;485,37,17;486,37,12;",2015-03-04T13:44:36.097Z
"487,38,16;484,36,14;124,36,14;3912,41,14;481,36,14;482,37,17;486,37,12;485,37,17;483,36,15;",2015-03-04T13:44:16.056Z
"230,36,20;",2015-03-04T13:43:38.715Z
"484,36,14;487,38,16;3912,36,14;124,36,14;481,36,14;482,37,17;486,37,12;485,38,16;",2015-03-04T13:33:55.845Z
"484,36,14;487,38,15;124,36,14;481,36,13;486,37,12;482,37,17;485,38,16;",2015-03-04T13:22:23.924Z
"482,37,17;481,36,13;485,38,16;486,37,12;483,36,15;230,36,20;487,38,16;484,36,14;3912,36,14;",2015-03-04T13:12:23.688Z
"481,36,13;482,37,17;486,37,12;485,37,17;483,36,15;230,35,21;",2015-03-04T12:50:02.882Z
"481,36,14;482,37,17;486,37,12;485,37,17;230,35,21;483,36,15;487,38,16;484,36,14;3912,36,14;",2015-03-04T12:40:04.715Z
"482,37,17;486,37,12;485,37,17;483,36,15;230,35,21;487,38,16;3912,36,14;",2015-03-04T12:39:44.773Z
"487,38,16;3912,36,14;484,36,14;124,36,14;",2015-03-04T12:39:07.050Z
"483,36,15;230,35,21;487,38,16;3912,36,14;124,36,14;484,36,14;481,36,14;482,37,17;",2015-03-04T12:29:30.700Z
"230,35,21;3912,36,14;487,38,16;484,36,14;124,36,14;482,37,17;",2015-03-04T12:29:10.675Z
"482,37,17;481,36,14;486,37,12;",2015-03-04T12:28:32.672Z
"124,36,14;3912,36,14;481,36,14;482,37,17;486,37,12;485,37,17;230,35,21;",2015-03-04T12:19:19.800Z
